Location,Country,Year,Month,Weekday,Operator,Route,Type,Total_Aboard,Total_Fatalities,Ground,Total_Survivors,Total_Deaths,Total_Involved,Summary
"Kansas City, Missouri",USA,1995,Feb,Thursday,ATI,Kansas City - Chicopee,McDonnell Douglas DC-8-63F,3.0,3.0,0.0,0.0,3.0,3.0,"On a positioning flight the crew aborted its first takeoff. On the second takeoff the tail struck the ground and crashed back to the ground. The loss of directional control by the pilot in command during the takeoff roll, and his decision to continue the takeoff and initiate a rotation below the computed rotation airspeed, resulting in a premature lift-off, further loss of control and collision with the terrain. The flight crew's lack of understanding of the three-engine takeoff procedures, and their decision to modify those procedures. The failure of the company to ensure that the flight crew had adequate experience, training, and rest to conduct the nonroutine flight. Contributing to the accident was the inadequacy of Federal Aviation Administration oversight of Air Transport International and Federal Aviation Administration flight and duty time regulations that permitted a substantially reduced flight crew rest period when conducting a nonrevenue ferry flight under 14 Code of Federal Regulations Part 91."
"Ossora, Russia",Russia,1995,Mar,Thursday,Aeroflot,Petropavlovsk -  Ossora,Antonov 26B,10.0,9.0,0.0,1.0,9.0,10.0,The cargo plane flew into high ground while on approach in poor weather conditons. Controllled flight into terrain.
"Near Balotesti, Romania",Romania,1995,Mar,Friday,TAROM (Transporturile Aeriene Romane),Bucharest - Brussel,Airbus A310-324,60.0,60.0,0.0,0.0,60.0,60.0,"Shortly after takeoff in poor visibility and heavy snow, with autothrottles engaged, climb thrust was selected. The right engine throttle jammed and remained at takeoff thrust, while the left engine throttle slowly reduced to idle. The increasing thrust asymmetry resulted in an increasing left bank angle, which eventually reached about 170 degrees. The airplane lost altitude and impacted the ground. Lack of crew response to an extreme nose-down attitude. The investigation concluded that the captain was incapacitated. Just before impact the first officer expressed his concern about the situation of either the captain's incapacitation or the aircraft's attitude and attempted a recovery."
"Lagos, Nigeria",Nigeria,1995,Apr,Sunday,Bristow Helicopters,Port Harcourt - Lagos,de Havilland Canada DHC-6 Twin Otter 300,9.0,1.0,0.0,8.0,1.0,9.0,The aircraft experienced a micoburst while attempting to land at Lagos landing hard on the nosegear. Full power was applied for a go-around but the aircraft veered off the runway and collided with another aircraft.
"Near Palaly AFB, Sri Lanka",Sri Lanka,1995,Apr,Saturday,Military - Sri Lanka Air Force,Anuradhapura - Palaly AFB,Hawker Siddeley HS-748-357/2B SCD,52.0,52.0,0.0,0.0,52.0,52.0,"While returning from Anuradhapura and descending through 3,000 ft the aircraft was shot down with a SAM missile by Tamil separatists."
"Sioux Falls, Ontario, Canada",Canada,1995,May,Monday,Bearskin Airlines / Air Sandy,Red Lake - Sioux Lookout  / Sioux Lookout - Red Lake,Swear. SA-227CC Metro 23/Piper Navajo,8.0,8.0,0.0,0.0,8.0,8.0,"The SA-227 collided with the Piper PA-31-350 that was taking off while approaching Sioux Lookout. Neither flight crew saw the other aircraft in time to avoid the collision. The Piper crashed into a  wooded area and the Swearing into Lake Seul. Contributing to the occurrence were the inherent limitations of the see-and-avoid concept which preclude the effective separation of aircraft with high closure rates, the fact that neither crew was directly alerted to the presence of the other aircraft by the Flight Service specialist or by onboard electronic equipment and an apparent lack of pilot understanding of how to optimize avoidance maneuvering."
"Quito, Ecuador",Ecuador,1995,May,Wednesday,American Jet,Buenos Aires - La Paz - Quito,Grumman Gulfstream II,7.0,7.0,0.0,0.0,7.0,7.0,"Crashed into Cerro Sincholagua mountain at 16,000 ft.  during an approach to Quito. Pilot fatigue may have been a factor."
"Cerro San Jeronimo, Colombia",Colombia,1995,May,Tuesday,ADES Colombia,Mitu - Villavicencio,Curtiss C-46F,9.0,9.0,0.0,0.0,9.0,9.0,Crashed into a mountain during approach in poor weather.
"Near Boise, Idaho",USA,1995,May,Saturday,Military - U.S. Air Force,"Boise, ID - Colorado Springs, CO",Lockheed C-130E Hercules,6.0,6.0,0.0,0.0,6.0,6.0,An engine caught fire shortly after takeoff and the aircraft was not able to make an emergency landing and crashed.
"Near Leeds, England",England,1995,May,Wednesday,Knight Air,Leeds - Aberdeen,Embraer 110 P1 Bandeirante,12.0,12.0,0.0,0.0,12.0,12.0,"The crew had serious problems maintaining their heading after both artificial horizons failed shortly after takeoff. The crew had difficulty controlling the aircraft in turbulent conditions and the plane went into a spiral dive and crashed into a field. One or possibly both of the aircraft's artificial horizons malfunctioned and in the absence of a standby horizon, for which there was no airworthiness requirement, there was no single instrument available for assured attitude reference or simple means of determining which flight instruments had failed. The pilot became spatially disoriented and was unable to maintain control."
"Miraflores, Colombia",Colombia,1995,May,Thursday,LACOL,Villavicencio - Miraflores,Douglas DC-3C,11.0,2.0,0.0,9.0,2.0,11.0,No Data
"Off Mbour, Senegal",Senegal,1995,May,Monday,Senegalair,No Data,Piper PA-31-310 Navajo,10.0,6.0,0.0,4.0,6.0,10.0,"Ditched in the sea just offshore, after losing an engine on approach. The pilot was not rated for that aircraft type and had very little experience."
"Near Palmerston North, New Zealand",New Zealand,1995,Jun,Friday,Ansett New Zealand,Auckland - Palmerston North,de Havilland Canada DHC-8-102,21.0,5.0,0.0,16.0,5.0,21.0,"As the plane approached  Runway 25,  the right main landing gear did not extend. While the captain continued the descent the co-pilot carried out the landing gear alternate extension checklist. The plane descended below the minimum safe step-down altitudes for the approach and struck the top of a ridge line. The captain did not ensure the aircraft intercepted and maintained the approach profile during the non-precision instrument approach. The captain's  unwise decision to get the landing gear lowered without discontinuing the instrument approach. The captain's distraction from the primary task of flying the aircraft safely during the first officer's attempt  to correct a landing gear malfunction."
"Volgograd, Russia",Russia,1995,Jun,Friday,Volga Air,Poliny Osipenko - Nikolayevsk-on-Amur,Antonov 2R,12.0,12.0,0.0,0.0,12.0,12.0,Crashed in poor weather condtions.
"Herputchi, Russia",Russia,1995,Jun,Friday,Aeroflot,Poliny - Nikolayevsk-on-Amur,Antonov AN-2,14.0,13.0,0.0,1.0,13.0,14.0,Flying VOR the plane ran into poor weather and the pilot decided to return however crashed into trees while attempting to land.
"Near Cuvela, Angola",Angola,1995,Jun,Saturday,Military - Angolan Air Force,Ondjiva - Catumbela,CASA 212-200 Aviocar,48.0,48.0,0.0,0.0,48.0,48.0,"The aircraft, carrying members of a local soccer club crashed 10 miles short of it's destination. Adverse weather conditions and overloaded."
"Lagos, Nigeria",Nigeria,1995,Jun,Saturday,Harka Air Services,Kaduna - Lagos,Tupolev TU-134A,80.0,16.0,0.0,64.0,16.0,80.0,"Crashed while landing in heavy rain. Overshot runway, landing long, and collided with a concrete culvert."
"La Romana, Dominican Republic",Dominican Republic,1995,Jun,Tuesday,Salair,"Santo Domingo - Aguadilla, Puerto Rico",Convair CV-440,2.0,2.0,0.0,0.0,2.0,2.0,"After the cargo flight encountered problems en route, the crew tried to return to Santo Domingo but crashed."
"Kiunga, Papua New Guinea",Papua New Guinea,1995,Jul,Saturday,Garamut Aviation,Port Moresby - Tabubil,de Havilland Canada C-7A Caribou,3.0,3.0,0.0,0.0,3.0,3.0,The cargo plane lost two engines during its flight to Tabubil and subsequent diversion to Kiunga and crashed short of the runway.
"Gumey, Papua New Guinea",Papua New Guinea,1995,Jul,Wednesday,Milne Bay Air,Alotou - Dagura,de Havilland Canada DHC-6 Twin Otter 300,15.0,15.0,0.0,0.0,15.0,15.0,Crashed on takeoff onto a beach in shallow water. An in-flight fire that originated near the rear cargo hold is believed to have started in a passenger's luggage from some type of flammable liquid.
"Bintuni,  Indonesia",Indonesia,1995,Jul,Monday,Merpati Nusantara Airlines,No Data,de Havilland Canada DHC-6 Twin Otter 300,18.0,1.0,0.0,17.0,1.0,18.0,The plane lost control during takeoff in heavy rain and veered off the runway crashing into a banana plantation.
"Near Antananivo, Madagascar",Madagascar,1995,Jul,Tuesday,Military - Madagascar Air Force,Maintirano - Antananivo,Douglas C-47A,34.0,34.0,0.0,0.0,34.0,34.0,"The aircraft, carrying a French medical team, crashed while attempting to land at Antananarivo. Double engine failure."
"Near Karamui, Papua New Guinea",Papua New Guinea,1995,Jul,Tuesday,Transniugini Airways,No Data,Britten-Norman BN-2A Islander,2.0,2.0,0.0,0.0,2.0,2.0,Shortly after takeoff the plane rolled to the left and struck the ground. Failure of the No. 1 engine.
"Johannesburg, South Africa",South Africa,1995,Aug,Wednesday,Aero Air,Johannesburg - Jamba,Antonov An-2R,3.0,3.0,0.0,0.0,3.0,3.0,During the takeoff cargo shifted in the plane causing the aircraft to lose altitude and crash into power lines.
"Near Kaimana, Indonesia",Indonesia,1995,Aug,Wednesday,Bourag Indonesia Airlines,Tual - Langgar - Kaimana,Hawker Siddeley HS-748 2A,10.0,10.0,0.0,0.0,10.0,10.0,"Crashed into Mt. Komawa at 9,200 ft. in poor weather. Found 8/14/95."
"Mt. Chichontepec, San Vincente, El Salvador",No Data,1995,Aug,Wednesday,Aviateca,Guatemala City - San Salvador,Boeing B-737-2H6,65.0,65.0,0.0,0.0,65.0,65.0,"Crashed into Mt. Chichontepec volcano at 5,900 ft. at night during heavy rain and thunderstorms. Possible damage to the aircraft's DME due to lightning. Confusion between the pilot and ATC due to bad weather and a diversion. The Ground Proximity Warning System had sounded and power was applied but too late."
"Nevada del Huila, Colombia",Colombia,1995,Aug,Monday,AIRES Colombia,Neiva - Cali,Embraer 110P1 Bandeirante,10.0,10.0,0.0,0.0,10.0,10.0,"Crashed into Nevado de Huila at an elevation of 14,500 feet."
"Near Carrollton, Georgia",Georgia,1995,Aug,Monday,Atlantic Southeast Airlines,Atlanta - Gulfport,Embraer 120-RT Brasilia,29.0,10.0,0.0,19.0,10.0,29.0,"Shortly after taking off from Atlanta on a flight to Gulfport, the aircraft experienced propeller separation in the left engine while climbing through FL 180. The aircraft hit trees, crashed into a field and burned while trying to make an emergency landing at West Georgia Regional Airport. The in-flight fatigue fracture and separation of a propeller blade resulting in distortion of the left engine nacelle, causing excessive drag, loss of wing lift, and reduced directional control of the airplane. The fracture was caused by a fatigue crack from multiple corrosion pits that were not discovered by Hamilton Standard because of inadequate and ineffective corporate inspection and repair techniques, training, documentation and communication. Two died of their injuries after the accident."
"Near Farewell, Alaska",USA,1995,Sep,Friday,North Star Air Cargo,Farewell - Anchorage,Shorts SC-7 Skyvan,1.0,1.0,0.0,0.0,1.0,1.0,"While en route the cargo plane flew into a 4,800 ft. mountain. The pilot's continued VFR flight into instrument meteorological conditions. The weather was a factor."
"Beaver Dam, Arizona",USA,1995,Sep,Saturday,Adventure Airlines,"Las Vegas, NV - W. Yellowstone, MT",Cessna 421C Golden Eagle,8.0,8.0,0.0,0.0,8.0,8.0,"After climbing to 18,400' msl, the pilot reported a turbocharger problem & reversed course. He said he 'may lose the left engine' & that he was unable to maintain altitude. He diverted to an alternate airport. During a right turn onto final approach, the airplane was observed to cross (overshoot) the extended centerline of the runway. It continued in a right turn back toward the centerline, and then entered a left turn to intercept the inbound course. The turn steepened, and then the airplane entered a spin & crashed 1/2 mile short of the runway. Failure of the pilot to maintain adequate airspeed, while maneuvering on approach, which resulted in an inadvertent stall/spin and uncontrolled collision with terrain. Factors relating to the accident were: the pilot allowed the aircraft weight and balance limitations to be exceeded; the pilot's lack of recurrent training in the make and model of airplane; inadequate maintenance/inspection of the engine exhaust systems; a warped and leaking exhaust system flange on the left engine, which resulted in a loss of power in that engine; and the pilot's improper use of the flaps."
"Toronto, Ontario, Canada",Canada,1995,Sep,Saturday,Military - Royal Air Force,Air Show,British Aerospace Nimrod MR-2P,7.0,7.0,0.0,0.0,7.0,7.0,"During a low flying turn manuve, at an air show, the pilot caused the plane to stall and crash into the water. The captain made an error in judgement in modifying one of the display manoeuvres to the extent that he stalled the aircraft at a height and attitude from which recovery was impossible."
"Near La Macarena, Colombia",Colombia,1995,Sep,Saturday,SAETA,Villavicencio - La Macarena,CASA 212 Aviocar 200,22.0,21.0,0.0,1.0,21.0,22.0,"Crashed short of the runway in rain, fog and reduced visibility after diverting from another airport and two landing attempts."
"Jalalabad, Afghanistan",Afghanistan,1995,Sep,Monday,Ariana Afghan Airlines,Kabul - Jalalabad,Antonov AN-26B,51.0,3.0,0.0,48.0,3.0,51.0,Crashed after running out of fuel.
"Off Colombo, Sri Lanka",Sri Lanka,1995,Sep,Tuesday,Military - Sri Lanka Air Force,Ratmalana - Palali base,Antonov AN-32,81.0,81.0,0.0,0.0,81.0,81.0,"The pilot reported an instrument problem after taking off from Ratmalana Airport and was returning for an emergency landing when the plane fell from 8,000 feet and crashed into the sea."
"Tawau,  Malaysia",Malaysia,1995,Sep,Friday,Malaysia Airlines,Kota Kinabalu - Tawau,Fokker 50,53.0,34.0,0.0,19.0,34.0,53.0,"Following a visual approach, the aircraft landed long and fast and overran the end of the runway into a shanty town while attempting a go-around."
"Near Moron, Mongolia",Mongolia,1995,Sep,Thursday,MIAT - Mongolian Airlines,Ulan Bator - Moron,Antonov AN-24RV,43.0,42.0,0.0,1.0,42.0,43.0,The plane crashed into mountains after a premature descent.
